DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
5,Friday,10AM,10PM,15MFF-0127,200 SHOTWELL ST,,"Tacos, Burritos, Tortas, Quesadillas, Mexican Drinks, Aguas Frescas",652257,,10:00,22:00,11834000,03/04/2011 10:30:43 AM,07/21/2011 11:23:49 AM,3571,014,N,"Santana ESG, Inc.",6007736.69666,2106759.30311,37.7651967350509,-122.416451692902,
5,Friday,1PM,2PM,14MFF-0001,180 MONTGOMERY ST,1:00PM-1:30PM,"Cold Truck: sandwiches, drinks, snacks, candy, hot coffee",509482,,13:00,14:00,9298000,06/02/2011 09:50:49 AM,06/02/2011 09:51:03 AM,0289,009,Y,Sun Rise Catering,6012023.61118,2115992.47962,37.7907890558203,-122.402273431333,
5,Friday,10AM,11AM,15MFF-0020,101 EXECUTIVE PARK BLVD,10:00am-10:05am,"Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks",626001,,10:00,11:00,5372202,08/29/2011 04:52:48 PM,08/29/2011 04:53:06 PM,4991,241,Y,Golden Catering,6013626.81853,2086973.71432,37.7111991003088,-122.394693339395,
5,Friday,10AM,3PM,15MFF-0047,290 TOWNSEND ST,10:00am-3:00pm,"Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water",629198,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,028,N,Linda's Catering,6014079.55674,2111038.10448,37.7773000262759,-122.394812784799,
5,Friday,10AM,11AM,15MFF-0116,299 ILLINOIS ST,"10:05am-10:10am, 12:10pm-12:15pm","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks",639692,,10:00,11:00,7163000,07/01/2011 10:51:03 AM,07/01/2011 10:51:27 AM,3850,001A,Y,May Catering,,,,,
5,Friday,10AM,11AM,14MFF-0034,1828 EGBERT AVE,10:05am-10:15am,"Cold Truck: Cheeseburgers, Burgers, Chicken Bake, Chili Dogs, Hot Dogs, Corn Dogs, Cup of Noodles, Egg Muffins, Tamales, Hot Sandwiches Quesadillas, Gatorade, Juice, Soda, Mikl, Coffee, Hot Cocoa, Hot Tea, Flan, Fruits, Fruit Salad, Yogurt, Candy, Chips,  Donuts, Cookies, Granola, Muffins & Various Drinks & Pre-Packaged Snacks.",526128,,10:00,11:00,5118000,04/22/2011 10:32:31 AM,10/24/2011 11:21:54 AM,5434B,005,Y,Bach Catering,6012168.38934,2092772.15906,37.7270392647114,-122.400141029645,
5,Friday,10AM,11AM,14MFF-0001,560 NATOMA ST,10:10am-10:15am,"Cold Truck: sandwiches, drinks, snacks, candy, hot coffee",509496,,10:00,11:00,9513000,06/07/2011 08:56:36 AM,06/07/2011 08:56:51 AM,3726,071,Y,Sun Rise Catering,6009961.2623,2111790.02747,37.7791347875605,-122.409112429172,
5,Friday,10AM,11AM,15MFF-0020,301 EXECUTIVE PARK BLVD,10:10am-10:25am,"Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks",626002,,10:00,11:00,5374000,08/29/2011 04:56:30 PM,08/29/2011 04:56:43 PM,4991,240,Y,Golden Catering,6014761.54077,2086930.26079,37.7111428086172,-122.390768390822,
5,Friday,10AM,11AM,15MFF-0116,500 16TH ST,10:10am-10:25am,"Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks",639693,,10:00,11:00,697000,07/01/2011 10:52:24 AM,07/01/2011 10:52:39 AM,3810,007,Y,May Catering,6015638.29704,2107239.05184,37.7669552085597,-122.389155218908,
5,Friday,10AM,11AM,15MFF-0061,1450 WALLACE AVE,10:15am-10:20am,"Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages",631458,,10:00,11:00,13355000,05/13/2011 09:16:14 AM,05/13/2011 09:16:32 AM,4828,024,Y,Liang Bai Ping,6015589.70159,2092302.36867,37.7259394852676,-122.388280728611,
5,Friday,10AM,11AM,15MFF-0079,2525 MARIN ST,10:15am-10:20am,"Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins",632706,,10:00,11:00,8700000,06/07/2011 04:30:45 PM,06/07/2011 04:31:06 PM,4343,001D,Y,Park's Catering,6011682.16711,2100464.95536,37.7481349335447,-122.402362570049,
5,Friday,1PM,2PM,15MFF-0119,3335 17TH ST,"10:20am-10:35am(Sat), 1:30pm-1:50pm(Sat), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645792,,13:00,14:00,797000,06/07/2011 11:13:12 AM,06/07/2011 11:13:51 AM,3576,086,Y,Natan's Catering,6006629.27774,2106102.87237,37.7633319911646,-122.420235403432,
5,Friday,10AM,11AM,15MFF-0079,3450 03RD ST,10:25am-10:30am,"Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins",632707,,10:00,11:00,198201,06/07/2011 04:31:45 PM,06/07/2011 04:32:12 PM,5211,029,Y,Park's Catering,6015841.40345,2099487.67011,37.7456828142552,-122.387911761433,
5,Friday,10AM,11AM,15MFF-0020,835 JAMESTOWN AVE,10:30am-10:40am,"Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks",626003,,10:00,11:00,7428000,08/29/2011 04:57:08 PM,08/29/2011 04:57:22 PM,4991,277,Y,Golden Catering,6014862.63879,2088936.11373,37.7166561002993,-122.390559039934,
